Technology,Material,n,mu,sigma,cv_fitted,ks_stat,ks_pval,ad_stat,ad_crit,rmse,fit_quality,mean_obs,std_obs,cv_obs,median_obs,q25_obs,q75_obs,iqr_obs,n_bin
NGCC,Cement,4,9.279995726397226,0.27051619294764656,0.2755415057134112,0.16861529913225415,0.9986104101092601,0.17408073290054915,1.799,0.13109336621291387,Good,11118.25,3454.7058123666625,0.31072388301816045,10741.5,9397.5,12462.25,3064.75,4-5
NGCC,Copper,4,6.193855487660435,0.06427939726335101,0.064345852515116,0.22797025600870058,0.9568303632430145,0.19200834360248642,1.799,0.14953530128274645,Good,490.75,36.782015532956684,0.07495061748946853,485.5,466.75,509.5,42.75,4-5
NGCC,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
NGCC,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
NGCC,Steel,2,10.592418222758235,0.24970846531580904,0.25365210852552045,0.3413447460685437,0.9332490989253861,0.2504824087501869,-0.242,0.26616510408828314,Poor,41080.0,14212.846301849606,0.34597970549779955,41080.0,36055.0,46105.0,10050.0,2
NGGT,Aluminum,2,5.378099651383706,0.05997965753948975,0.060033643086683526,0.34134474606854237,0.9332490989253881,0.25048240875018735,-0.242,0.2661651040882825,Poor,217.0,18.384776310850235,0.08472247147857251,217.0,210.5,223.5,13.0,2
NGGT,Cement,4,9.279995726397226,0.27051619294764656,0.2755415057134112,0.16861529913225415,0.9986104101092601,0.17408073290054915,1.799,0.13109336621291387,Good,11118.25,3454.7058123666625,0.31072388301816045,10741.5,9397.5,12462.25,3064.75,4-5
NGGT,Copper,4,6.193855487660435,0.06427939726335101,0.064345852515116,0.22797025600870058,0.9568303632430145,0.19200834360248642,1.799,0.14953530128274645,Good,490.75,36.782015532956684,0.07495061748946853,485.5,466.75,509.5,42.75,4-5
NGGT,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
NGGT,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
NGGT,Steel,2,10.592418222758235,0.24970846531580904,0.25365210852552045,0.3413447460685437,0.9332490989253861,0.2504824087501869,-0.242,0.26616510408828314,Poor,41080.0,14212.846301849606,0.34597970549779955,41080.0,36055.0,46105.0,10050.0,2
Nuclear New,Aluminum,4,3.54563146392431,0.41727603247865935,0.436116421131402,0.23419807604222276,0.9454001850462402,0.25041108077221086,1.799,0.12245610192195722,Good,37.5,15.588457268119896,0.41569219381653055,39.0,29.25,47.25,18.0,4-5
Nuclear New,Cement,9,10.4322298816434,0.40746380834243723,0.4249761034549536,0.17606085665288018,0.8998182669052103,0.314682623324142,0.693,0.09316590762735054,Excellent,36852.88888888889,15767.423508966553,0.4278476934740499,30400.0,22872.0,51125.0,28253.0,6-10
Nuclear New,Copper,5,7.1006434061571495,0.360155526110944,0.37215648775388327,0.21309398023576165,0.9386764586044428,0.195087247465195,0.984,0.11505706671430398,Good,1291.8,502.08933468059246,0.3886742024156932,1345.0,907.0,1481.0,574.0,4-5
Nuclear New,Manganese,4,5.792621877766438,0.30735316288705555,0.3147566639452481,0.24116841714388437,0.9300667821471494,0.20402125866195764,1.799,0.1270264163307331,Good,343.0,113.71015785759863,0.3315164952116578,348.0,274.25,416.75,142.5,4-5
Nuclear New,Nickel,5,4.937384591735144,0.8650213037571758,1.055141488932952,0.2495305795269096,0.8460503592545773,0.2695971749675028,0.984,0.14405851636280675,Good,201.4,186.6301154690743,0.9266639298365158,100.0,74.0,300.0,226.0,4-5
Nuclear New,Silver,3,0.0,7.37441270765748e-18,0.0,0.5,0.3333333333333333,,-1.771,0.3191423692521127,Poor,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3
Nuclear New,Steel,6,10.137599273453295,0.772945802527304,0.9041402642867732,0.3439117982583894,0.38700215753189215,0.682974726699288,0.809,0.15151106750806223,Fair,31983.666666666668,18621.896516377343,0.5822314467710813,39637.0,16517.0,44417.25,27900.25,6-10
Solar Distributed,Aluminum,4,9.891042676724194,0.44612713319716674,0.46927376117817243,0.2846957427364018,0.8166166908617156,0.29483865320841485,1.799,0.16688314546925923,Fair,21863.25,11721.936796024793,0.5361479558631399,19000.0,16988.25,23875.0,6886.75,4-5
Solar Distributed,Cement,6,8.915018065294575,0.26538178874095286,0.27012361959308673,0.2067820344287047,0.9158717860973862,0.249401249703884,0.809,0.10545761831283772,Good,7705.166666666667,2193.008291517993,0.2846152959942021,7147.5,6566.5,9440.0,2873.5,6-10
Solar Distributed,Copper,11,7.178769269794975,1.2034668366390653,1.8044421254725198,0.24430634283885716,0.4560740403131238,0.5547267766622994,0.68,0.10798307486721943,Good,2614.181818181818,3007.237729817243,1.1503552311861758,884.0,641.5,4870.5,4229.0,11-20
Solar Distributed,Glass,3,11.049925592627831,0.11787999157862934,0.11829068557329676,0.3554199803620632,0.7180337041056274,0.32882547238891924,-1.771,0.1803102725308592,Fair,63366.666666666664,8787.680771018788,0.13867986487667736,66700.0,60050.0,68350.0,8300.0,3
Solar Distributed,Lead,6,3.183834236338328,1.541859347645122,3.126674739109014,0.30761886881899153,0.5229311453553962,0.43762917412920377,0.809,0.14509538416827436,Good,77.47500000000001,129.37794986009015,1.6699315890298825,22.66,6.08,63.75,57.67,6-10
Solar Distributed,Nickel,5,0.12400774174786136,0.11820697512959756,0.11862110291474368,0.2790920261210962,0.7445443440799313,0.46861451917016694,0.984,0.15876314401852568,Fair,1.1400000000000001,0.15165750888103102,0.1330329025272202,1.1,1.0,1.3,0.30000000000000004,4-5
Solar Distributed,Silicon,15,7.8924260033278895,1.8467760592016278,5.411363792114198,0.3826077420728601,0.01745820546166499,2.6008022188617517,0.681,0.16945045279976245,Fair,4633.533333333334,2565.8110627097644,0.5537482690048842,3653.0,3138.5,6629.5,3491.0,11-20
Solar Distributed,Silver,30,3.256058613479373,0.7725831331628868,0.9035768822638008,0.09854105587457385,0.9052846234327075,0.30773022650451054,0.712,0.03414693392893033,Excellent,33.63129166666667,23.070446499113594,0.6859815771506523,29.728125,17.25,44.8421875,27.5921875,21-50
Solar Distributed,Steel,2,10.93221331443024,0.0008936552870482117,0.0008936554654603254,0.34134474606865456,0.9332490989252241,0.2504824087501869,-0.242,0.26616510408844263,Poor,55950.0,70.71067811865476,0.0012638190905925784,55950.0,55925.0,55975.0,50.0,2
a-Si,Aluminum,3,9.878106610064698,0.33465013987660325,0.3442418866922407,0.4269166055731903,0.5205417628221893,0.4877667358939841,-1.771,0.2563860221696418,Poor,20693.333333333332,9185.642782806946,0.4438938200454388,15390.0,15390.0,23345.0,7955.0,3
a-Si,Cement,4,8.873176009815388,0.27618017672673517,0.28153127450166826,0.17512111109468254,0.9975766620462192,0.18612802279381757,1.799,0.13368148868867852,Good,7413.5,2352.7748865258372,0.31736357813796956,7147.5,6293.0,8268.0,1975.0,4-5
a-Si,Copper,5,7.63137634497223,1.6917394571666802,4.061548576930487,0.3650077679193998,0.41609335845701645,0.5862166197910375,0.984,0.14725560030111354,Good,4527.1,3648.5563309341956,0.8059367654644685,7000.0,1005.0,7000.0,5995.0,4-5
a-Si,Germanium,16,3.4678902826979296,0.9472109483128476,1.2052995067850287,0.29857930297564794,0.09249304821190152,1.4580722258693157,0.683,0.12378387968570304,Fair,43.5,25.26106358278157,0.5807141053513005,42.0,30.7,73.0,42.3,11-20
a-Si,Glass,3,11.049925592627831,0.11787999157862934,0.11829068557329676,0.3554199803620632,0.7180337041056274,0.32882547238891924,-1.771,0.1803102725308592,Fair,63366.666666666664,8787.680771018788,0.13867986487667736,66700.0,60050.0,68350.0,8300.0,3
a-Si,Indium,4,1.8313104162801461,0.4565868812625445,0.48144981270530135,0.386856706802166,0.47997629682672627,0.4679298407992434,1.799,0.21085755032404815,Fair,7.0125,4.310153709556076,0.6146386751595116,5.32,4.99,7.3425,2.3525,4-5
a-Si,Steel,2,10.93221331443024,0.0008936552870482117,0.0008936554654603254,0.34134474606865456,0.9332490989252241,0.2504824087501869,-0.242,0.26616510408844263,Poor,55950.0,70.71067811865476,0.0012638190905925784,55950.0,55925.0,55975.0,50.0,2
