material,technology,S1,S1_conf,ST,ST_conf,coefficient,n_params,n_evaluations,analytical
Molybdenum,CdTe,0.04013137569000792,0.017122673301997494,0.040131080057985324,0.003365686376839327,3248339.058999999,5,7168,False
Molybdenum,CIGS,0.007239797729725513,0.007572078233580977,0.007302775938380091,0.0005719663500634329,1392145.311000001,5,7168,False
Molybdenum,offshore wind,0.000818748081834638,0.0022786926866964845,0.0007983993505464012,6.894218317850817e-05,3300259.0999999987,5,7168,False
Molybdenum,a-Si,0.0,0.0,0.0,0.0,0.0,5,7168,False
Neodymium,onshore wind,0.9972886349960389,0.06863088593592176,0.9972900715497711,0.05918725008096775,39276367.800000004,2,4096,False
Neodymium,offshore wind,0.0025287703506085037,0.004936903368707667,0.00252790841836916,0.00021337335505232296,3300259.0999999987,2,4096,False
Nickel,onshore wind,0.9959684985454308,0.07615846127150923,0.9959683799523376,0.06605338847620058,39276367.800000004,16,18432,False
Nickel,Nuclear New,0.003968091215725232,0.005190950718681305,0.003979101042567833,0.0003147625386905765,1582396.8,16,18432,False
Nickel,offshore wind,3.1994081078076496e-05,0.00047133880441809585,3.201847157460679e-05,2.683021799238254e-06,3300259.0999999987,16,18432,False
Nickel,CSP,7.253091778409495e-06,0.00023811988215472773,6.352516324220327e-06,4.958479468276589e-07,33994.30000000001,16,18432,False
Nickel,utility-scale solar pv,3.639639079297834e-06,0.00017855222765102366,3.36221422604274e-06,3.0495955620822646e-07,41764359.32999998,16,18432,False
Nickel,NGCC,1.423453469696388e-06,9.188055334507989e-05,1.4239041965956414e-06,1.2363229444094596e-07,5142680.699999998,16,18432,False
Nickel,NGGT,1.180651792463195e-06,0.00010676293314367585,1.401348125040273e-06,1.2745325506345417e-07,5109209.6000000015,16,18432,False
Nickel,CdTe,6.194628645763508e-07,7.521860435803707e-05,6.444901264311072e-07,5.987934149379299e-08,3248339.058999999,16,18432,False
Nickel,Gas CCS,3.5236331833309256e-07,5.155020818273385e-05,3.567633700930494e-07,3.06840852529247e-08,2577920.899999998,16,18432,False
Nickel,Solar Distributed,3.552022126198456e-08,1.4296554290502994e-05,3.0842058600393025e-08,2.704118620761199e-09,4000044.3999999957,16,18432,False
Nickel,Bio CCS,1.5597174309079196e-08,5.1921186849787206e-06,3.914175976889015e-09,3.250108924368015e-10,270022.29999999993,16,18432,False
Nickel,Coal CCS,1.4892748174685877e-08,1.0773124282688036e-05,1.5346941091124707e-08,1.3354625712895218e-09,534664.8999999999,16,18432,False
Nickel,Biomass,0.0,0.0,0.0,0.0,0.0,16,18432,False
Nickel,Coal,0.0,0.0,0.0,0.0,0.0,16,18432,False
Nickel,Gas,0.0,0.0,0.0,0.0,0.0,16,18432,False
Nickel,a-Si,0.0,0.0,0.0,0.0,0.0,16,18432,False
Niobium,onshore wind,0.9928192762630544,0.06824357725628001,0.9928216607358544,0.05871578611507416,39276367.800000004,2,4096,False
Niobium,offshore wind,0.0069974755152350104,0.008177129955574593,0.006996044831555005,0.0005920539827525154,3300259.0999999987,2,4096,False
Praseodymium,onshore wind,0.9997723824441154,0.06910336257815032,0.9997725782332475,0.059834123875338985,39276367.800000004,2,4096,False
Praseodymium,offshore wind,4.6957272621760424e-05,0.0006743156736741437,4.6839799142459526e-05,3.941350106604331e-06,3300259.0999999987,2,4096,False
Selenium,CIGS,1.0,0.0,1.0,0.0,1392145.311000001,1,0,True
Silicon,utility-scale solar pv,0.9908751103173385,0.07824271184652304,0.9908588186738897,0.06441373308427752,41764359.32999998,3,5120,False
Silicon,Solar Distributed,0.009101262000573743,0.008493986860023835,0.009089857850159607,0.0008142625768502139,4000044.3999999957,3,5120,False
Silicon,a-Si,0.0,0.0,0.0,0.0,0.0,3,5120,False
Silver,utility-scale solar pv,0.99092872347653,0.07500155085414519,0.9909238432684209,0.060470200970148116,41764359.32999998,4,6144,False
Silver,Solar Distributed,0.009085872145118563,0.008280449198988281,0.00908967415090848,0.0007098744901283499,4000044.3999999957,4,6144,False
Silver,Nuclear New,9.47719864768551e-09,8.410808384164788e-06,8.888634676292675e-09,7.601040190770445e-10,1582396.8,4,6144,False
Silver,CSP,4.44145983167428e-09,2.5632688835311095e-06,9.232055399590111e-10,8.101514100335176e-11,33994.30000000001,4,6144,False
Steel,onshore wind,0.6867396849634974,0.05971089961601953,0.6870581714844539,0.05217736269952491,39276367.800000004,19,21504,False
Steel,offshore wind,0.30543976850506754,0.041664546447728754,0.30552296053468797,0.02303349332871681,3300259.0999999987,19,21504,False
Steel,Geothermal,0.006731242530979162,0.007508624475524168,0.006936374295997341,0.0005536492410409265,433939.00000000047,19,21504,False
Steel,Gas CCS,0.0001941310307126238,0.0008970701080197033,0.00010874177809988744,9.370037226930546e-06,2577920.899999998,19,21504,False
Steel,NGCC,0.00018535697957109917,0.001131543119067914,0.0001848824810682793,1.572169485929144e-05,5142680.699999998,19,21504,False
Steel,NGGT,0.00018344399912107386,0.001191995089757938,0.0001825098034649456,1.7693854994645082e-05,5109209.6000000015,19,21504,False
Steel,Hydro,0.00017927414997552407,0.0012745217579368967,0.0001787420356136546,1.575234183910001e-05,374536.5999999999,19,21504,False
Steel,Nuclear New,7.967130306688776e-05,0.0007552148233002699,8.009593074232993e-05,7.221698805054402e-06,1582396.8,19,21504,False
Steel,Coal CCS,2.348808811704731e-05,0.00045243839395060173,2.0901570462950466e-05,1.6365006322844418e-06,534664.8999999999,19,21504,False
Steel,utility-scale solar pv,1.1181645804703061e-05,4.5736461050694995e-05,3.0532946190412106e-07,2.5919243765730305e-08,41764359.32999998,19,21504,False
Steel,CSP,5.228748240405598e-07,6.67277180441657e-05,5.118724853328832e-07,4.440904027011971e-08,33994.30000000001,19,21504,False
Steel,Bio CCS,3.1281170825603276e-07,5.242397097964546e-05,3.193551473342877e-07,2.6850895382401957e-08,270022.29999999993,19,21504,False
Steel,Solar Distributed,4.422931713760381e-09,4.277032023850077e-06,2.774549257984644e-09,2.5967122575614076e-10,4000044.3999999957,19,21504,False
Steel,CIGS,1.3204483086737113e-09,1.4382703958740545e-06,3.3528884755498566e-10,2.878096827486852e-11,1392145.311000001,19,21504,False
Steel,a-Si,2.6424261562963363e-17,3.913597631069005e-17,2.0151235324600147e-31,2.1795541066565026e-32,0.0,19,21504,False
Steel,Coal,1.4945845260622e-17,3.8060208308203216e-17,2.109722396005356e-31,2.1162189386179879e-32,0.0,19,21504,False
Steel,Gas,1.3896440984807448e-17,3.6424830585564364e-17,1.692088665009392e-31,2.145666652478294e-32,0.0,19,21504,False
Steel,Biomass,0.0,3.294966303316856e-17,1.5272123350347295e-31,2.0653626739830184e-32,0.0,19,21504,False
Steel,CdTe,0.0,3.6869722960905016e-06,1.8256913300858095e-09,1.6767934036845945e-10,3248339.058999999,19,21504,False
Tellurium,CdTe,1.0001401902582077,0.06848828843814464,1.0001401902582077,0.05851047729764672,3248339.058999999,2,4096,False
Tellurium,a-Si,0.0,0.0,0.0,0.0,0.0,2,4096,False
Terbium,onshore wind,0.9998154547652033,0.06915297986539203,0.9998155129672052,0.0599077330716568,39276367.800000004,2,4096,False
Terbium,offshore wind,4.173917673150476e-06,0.00020049266354508992,4.138996472034701e-06,3.481648725078049e-07,3300259.0999999987,2,4096,False
Tin,utility-scale solar pv,0.9908901405917044,0.07445309410530772,0.9909014284961403,0.05955258134907323,41764359.32999998,4,6144,False
Tin,Solar Distributed,0.009088036622732328,0.008370936204277032,0.009087492129408003,0.0007849462642261396,4000044.3999999957,4,6144,False
Tin,CdTe,8.858648561604088e-07,7.57905783781893e-05,7.842829800264426e-07,6.984317198949019e-08,3248339.058999999,4,6144,False
Tin,a-Si,0.0,0.0,0.0,0.0,0.0,4,6144,False
Vanadium,offshore wind,1.0001285100766024,0.06847823559937803,1.0001284517074827,0.05852213557109955,3300259.0999999987,2,4096,False
Vanadium,onshore wind,1.1462432146772825e-05,0.00033200601030272176,1.1559714013354869e-05,9.64555226251806e-07,39276367.800000004,2,4096,False
Yttrium,onshore wind,1.0,0.0,1.0,0.0,39276367.800000004,1,0,True
Zinc,onshore wind,0.9998190849642498,0.06916582337262893,0.9998191072741385,0.05992698882072878,39276367.800000004,2,4096,False
Zinc,CIGS,6.215383837665357e-07,7.68563528806266e-05,6.081524504970956e-07,5.115241301416528e-08,1392145.311000001,2,4096,False
