scenario,total_cumulative_demand,peak_demand,mean_demand_early,year_of_peak,demand_slope,temporal_concentration,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,n_active_materials,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production,total_import_exposed_demand
Mid_Case_CO2e_95by2050,332051596.5305455,59420792.15189638,42488555.813052,2032.0,1433139.6474411108,0.8543615083900551,0.3430765067526432,1.2099820510255366,0.2862746588558551,0.2635225918677886,0.06526882363277949,30,0.16630949955787536,0.20822974276907227,16.0,18,117823412.07812627
Mid_Case_NoNascent,252770126.39300326,60169780.483672075,43456455.595897295,2032.0,-119821.33050665155,1.6109128070211112,0.33971436353550155,1.1983458055589291,0.28598292478181264,0.2680011132635431,0.06469083263545604,30,0.17674846240464956,0.24406263462102037,16.0,18,92056529.82755724
Mid_Case_No_111D,239414979.39821506,42125562.14255891,37782952.520686865,2035.0,149642.82784121737,1.4015759778592696,0.34045901595335104,1.201377303965969,0.2777353757579447,0.2558379598743678,0.0545229891219764,30,0.1772094248873123,0.24086967132227388,16.0,18,88443732.27636081
Mid_Case_No_IRA,170210504.4498195,38966762.33861555,27280470.499990333,2032.0,-26612.473128336973,1.6063466847154544,0.331772474487471,1.1764029429592884,0.2373079136959863,0.2221682664924691,0.042148728539717,30,0.17280513713717963,0.26755684484316977,16.0,18,59028055.53322371
Mid_Case_No_IRA_111D,149814957.45209315,23616295.021965455,18858672.734002884,2041.0,352503.74536257674,1.056057466442301,0.32725914790489075,1.161518110430426,0.20723692485916578,0.20080644122146116,0.04526986604718629,30,0.16609279251536885,0.24776670577896673,16.0,18,52145975.77289848
Mid_Case_No_TC_Expiration,253057769.52404118,58784038.774977855,41602990.03714336,2032.0,4997.208034441971,1.4585492324892124,0.3413432470280618,1.2036782021436168,0.2813676681405604,0.2638599659951874,0.06492754879632738,30,0.1728497905329,0.23325330996652907,16.0,18,91299617.39101836
No_TC_Expiration_CO2e_100by2035,359452938.89799225,99628268.12950215,70311730.6361432,2035.0,-362568.6017425488,1.9564421240637024,0.34494299344119583,1.216518278051565,0.30426662147022226,0.33990592903252953,0.07895626891951496,30,0.1687167151495757,0.23091675997426217,16.0,18,123768669.14772439
Reduced_RE_Resource,218891776.88865027,53974251.299302675,37791725.60215006,2032.0,-123455.6935712626,1.6095148965984463,0.32405936236225286,1.1481045845115736,0.2996042292107551,0.232771154256279,0.07407337344357497,30,0.19126009848673575,0.27586836826469746,16.0,18,84886337.97365107
Reduced_RE_Resource_CO2e_100by2035,275955972.8379996,101431360.71084213,67105027.67057028,2035.0,-1210831.5256834016,4.507091932108977,0.30791920843734477,1.0984907659775693,0.3366679875106689,0.2904373593300078,0.09116269727395859,30,0.18282148012189753,0.28504047436353513,15.444444444444445,18,98683042.76629151
Reduced_RE_Resource_No_TC_Expiration,217713628.56178522,53974428.0408608,37649488.5399913,2032.0,-128937.8573044851,1.5947088016899718,0.3237054715794794,1.147346591482081,0.2995528435616394,0.23211011240763038,0.07415584990636502,30,0.191874337224894,0.28355201871200225,16.0,18,84544934.66384764
