Technology,Material,n,Distribution,CV (observed),CV (fitted),cv_old,cv_new,cv_diff,cv_ratio,cv_source,blend_weight,cv_reference
Bio CCS,Cement,2,lognormal,0.3060,0.2220,0.5560,0.5630,0.0070,1.0126,mat:Cement,1.0000,0.5630
Biomass,Cement,2,lognormal,0.3060,0.2220,0.5560,0.5630,0.0070,1.0126,mat:Cement,1.0000,0.5630
CDTE,Steel,2,lognormal,0.0010,0.0010,0.0020,0.4195,0.4175,209.7500,mat:Steel,1.0000,0.4195
CIGS,Molybdenum,2,lognormal,1.3890,15.6280,39.0690,1.9360,-37.1330,0.0496,tech:CIGS,1.0000,1.9360
CIGS,Steel,2,lognormal,0.0010,0.0010,0.0020,1.9360,1.9340,968.0000,tech:CIGS,1.0000,1.9360
CSP,Aluminum,2,normal,1.4140,1.4140,3.5360,1.3830,-2.1530,0.3911,mat:Aluminum,1.0000,1.3830
CSP,Cement,2,lognormal,0.7820,0.6880,1.7200,0.5630,-1.1570,0.3273,mat:Cement,1.0000,0.5630
CSP,Copper,2,lognormal,0.5530,0.4320,1.0790,1.8040,0.7250,1.6719,mat:Copper,1.0000,1.8040
CSP,Glass,2,lognormal,0.1180,0.0840,0.2090,1.0300,0.8210,4.9282,global,1.0000,1.0300
CSP,Manganese,2,lognormal,0.6800,0.5620,1.4040,1.0300,-0.3740,0.7336,global,1.0000,1.0300
CSP,Nickel,2,lognormal,0.4780,0.3630,0.9080,0.6650,-0.2430,0.7324,mat:Nickel,1.0000,0.6650
CSP,Silver,2,lognormal,0.1460,0.1040,0.2600,0.9040,0.6440,3.4769,mat:Silver,1.0000,0.9040
CSP,Steel,2,lognormal,0.3540,0.2600,0.6490,0.4195,-0.2295,0.6464,mat:Steel,1.0000,0.4195
CdTe,Lead,2,lognormal,0.0180,0.0130,0.0320,0.8045,0.7725,25.1406,tech:CdTe,1.0000,0.8045
Gas,Aluminum,2,lognormal,0.0850,0.0600,0.1500,1.3830,1.2330,9.2200,mat:Aluminum,1.0000,1.3830
Gas,Steel,2,lognormal,0.3460,0.2540,0.6340,0.4195,-0.2145,0.6617,mat:Steel,1.0000,0.4195
Gas CCS,Aluminum,2,lognormal,0.0850,0.0600,0.1500,1.3830,1.2330,9.2200,mat:Aluminum,1.0000,1.3830
Gas CCS,Steel,2,lognormal,0.3460,0.2540,0.6340,0.4195,-0.2145,0.6617,mat:Steel,1.0000,0.4195
NGCC,Aluminum,2,lognormal,0.0850,0.0600,0.1500,1.3830,1.2330,9.2200,mat:Aluminum,1.0000,1.3830
NGCC,Steel,2,lognormal,0.3460,0.2540,0.6340,0.4195,-0.2145,0.6617,mat:Steel,1.0000,0.4195
