Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
Gas,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Gas,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
Gas CCS,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Gas CCS,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
Geothermal,Copper,3,lognormal,7333.333333333333,2518.0,10050.040414512438,1.3704600565244234,9144.0,693.05,18066.649999999998,17373.6,21118.86168332467,2.537899545315601,48818.09247502328,5.866576359717514,2.0,42237.72336664934,5.075799090631202,97636.18495004656,Yes
Hydro,Copper,3,lognormal,1840.6666666666667,1502.0,1003.8034336130423,0.545347754588759,960.0,1072.6,2896.6,1824.0,830.2487474394353,0.452145208490175,3177.8102006391987,1.730603822217785,2.0,1660.4974948788706,0.90429041698035,6355.620401278397,Yes
NGCC,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
NGCC,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
NGGT,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
NGGT,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
